,Others(bag + Tape ) ,77,82,8,6,6,-5,-4,9,10,65,4,4,-5,-5,10,10,56,8,8,-6,-5,11,12,59,6,6,-7,-6,11,12,65,6,6,-6,-6,12,12,67,5,6,-6,-6,11,13,69,9,8,-5,-5,16,15,81,4,5,-6,-6,14,14,70,2,2,-6,-6,11,10,70,5,5,-5,-4,11,11,72,1,1,-5,-5,8,8,61,1,1,-4,-4,4,5,38,29,,-30,,5,5,0
,SKD WIP,,,7,104,81,-111,-78,0,10,,129,96,-119,-105,20,0,,103,79,-103,-67,0,12,,53,74,-54,-75,10,10,,81,84,-82,-86,9,8,,65,68,-65,-70,8,7,,62,69,-61,-67,8,9,,58,68,-58,-69,8,8,,75,62,-76,-63,7,7,,69,62,-68,-61,8,8,,61,63,-61,-64,8,7,,62,64,-62,-64,8,7,,489,,-489,,,,
,Element WIP (ZE),,,54,,,3,-4,57,50,,,,1,8,50,58,,,,-6,7,52,64,,,,-7,-10,57,54,,,,6,-6,60,48,,,,4,10,52,59,,,,-2,-3,57,55,,,,0,-1,57,54,,,,0,0,57,54,,,,-2,-2,55,52,,,,-5,-6,49,46,,,,-5,-5,44,41,,,,1,,43,41,
,Total (Without GIT),,,259,456,436,-362,-309,352,386,,379,347,-405,-371,360,362,,346,290,-390,-349,318,303,,421,442,-378,-384,346,361,,350,366,-385,-404,326,323,,339,358,-371,-379,291,302,,360,414,-356,-366,306,349,,318,310,-335,-348,290,311,,332,300,-326,-288,296,323,,271,251,-300,-289,267,285,,269,244,-291,-284,245,245,,215,202,-257,-253,203,194,,"1,814",0,"-1,802",0,220,187,
,GIT,,,36,,,,,51,32,,,,,,33,38,,,,,,77,44,,,,,,63,31,,,,,,61,25,,,,,,81,65,,,,,,55,21,,,,,,73,92,,,,,,57,52,,,,,,55,54,,,,,,51,51,,,,,,64,63,,,,,,54,,
,Total (With GIT),,,295,456,436,-362,-309,403,418,34,379,347,-405,-371,393,399,34,346,290,-390,-349,394,347,27,421,442,-378,-384,409,392,29,350,366,-385,-404,387,349,28,339,358,-371,-379,372,367,30,360,414,-356,-366,362,370,32,318,310,-335,-348,363,404,42,332,300,-326,-288,353,375,39,271,251,-300,-289,322,339,36,269,244,-291,-284,296,296,35,215,202,-257,-253,267,257,28,"1,814",0,"-1,802",0,274,187,0
,,,,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, FALSE ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIDSG                    
Unit: KUSD",,,,Apr-25,,,,,,,May-25,,,,,,,Jun-25,,,,,,,Jul-25,,,,,,,Aug-25,,,,,,,Sep-25,,,,,,,Oct-25,,,,,,,Nov-25,,,,,,,Dec-25,,,,,,,Jan-26,,,,,,,Feb-26,,,,,,,Mar-26,,,,,,,FY26 1H,,,,,,
,,,,C/B,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days
,,,,Fct,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,BP,T/F,BP,T/F,BP,T/F,T/F
,Capacitor,,,"6,850","15,719","15,445","-12,511","-12,553","10,057","11,326",23,"10,650","11,298","-14,660","-14,805","5,864","6,412",14,"13,370","14,400","-13,746","-14,123","7,022","6,721",13,"15,552","15,681","-14,988","-15,028","7,176","7,164",14,"14,267","14,320","-15,695","-15,542","5,836","6,038",12,"15,510","15,412","-14,983","-15,315","6,469","6,100",12,"14,768","14,864","-15,165","-15,353","5,746","5,760",12,"15,904","16,122","-14,169","-14,542","7,377","7,247",16,"15,340","15,456","-13,916","-13,528","8,801","9,058",23,"7,851","7,258","-12,609","-11,871","4,044","4,445",14,"10,827","9,918","-9,925","-9,876","4,946","4,487",12,"14,057","14,179","-9,620","-10,820","9,404","7,846",22,"69,677",0,"-71,247","-12,741","7,006",0,0
,Inductor,,,"2,005","3,627","3,470","-3,298","-3,182","2,515","2,722",25,"3,348","3,478","-3,216","-3,308","2,687","2,649",24,"3,348","3,386","-3,322","-3,332","2,600","2,623",24,"3,373","3,153","-3,376","-3,283","2,725","2,605",23,"3,379","3,424","-3,392","-3,437","2,632","2,464",22,"3,292","3,285","-3,334","-3,352","2,638","2,488",22,"3,341","3,420","-3,390","-3,439","2,549","2,664",23,"3,199","3,371","-3,364","-3,455","2,383","2,600",24,"3,247","3,327","-3,188","-3,308","2,562","2,624",24,"3,157","3,155","-3,195","-3,263","2,484","2,526",24,"3,100","3,213","-3,166","-3,213","2,448","2,516",24,"2,975","3,074","-3,121","-3,203","2,167","2,212",21,"19,769",0,"-19,721",0,"2,458","1,987",0
,Resistor,,,878,176,181,-204,-193,855,866,124,160,164,-220,-210,814,819,115,205,205,-215,-214,815,811,120,141,140,-181,-203,778,748,153,172,171,-179,-147,741,772,114,158,182,-189,-203,785,753,99,271,273,-261,-227,769,822,89,252,247,-268,-277,756,773,83,296,290,-308,-280,748,788,84,249,276,-278,-280,723,788,78,262,298,-310,-304,672,780,77,272,225,-282,-304,677,716,73,"1,422",0,"-1,824",-260,633,426,295
,Varistor,,,295,456,436,-362,-309,403,418,34,379,347,-405,-371,393,399,34,346,290,-390,-349,394,347,27,421,442,-378,-384,409,392,29,350,366,-385,-404,387,349,28,339,358,-371,-379,372,367,30,360,414,-356,-366,362,370,32,318,310,-335,-348,363,404,42,332,300,-326,-288,353,375,39,271,251,-300,-289,322,339,36,269,244,-291,-284,296,296,35,215,202,-257,-253,267,257,28,"1,814",0,"-1,802",0,274,187,0
,Total,,,"10,028","19,977","19,533","-16,376","-16,237","13,831","15,331",25,"14,538","15,287","-18,500","-18,695","9,757","10,279",17,"17,270","18,281","-17,673","-18,018","10,831","10,501",17,"19,488","19,416","-18,923","-18,899","11,089","10,908",17,"18,169","18,282","-19,651","-19,530","9,596","9,622",15,"19,299","19,237","-18,877","-19,250","10,264","9,708",15,"18,741","18,970","-19,171","-19,385","9,425","9,616",15,"19,674","20,050","-18,136","-18,623","10,879","11,024",19,"19,215","19,374","-17,738","-17,404","12,464","12,845",25,"11,528","10,940","-16,382","-15,703","7,573","8,098",18,"14,458","13,672","-13,692","-13,676","8,362","8,079",17,"17,518","17,681","-13,279","-14,580","12,515","11,032",23,"92,682",0,"-94,594","-13,001","10,370","2,600",36
,,,,"9,991",,,,,,"13,287",,,,,,,"9,880",,,,,,,-330,,,,,,,,,,,,,,,,,,,,,-556,,,,,,,,,,,,,,,,,,,,,381,,,,,,,,,,,,,,,,,,,,,"-1,483",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36,,,,,,"2,044",,,,,,,399,,,,,,,359,,,,,,,248,,,,,,,211,,,,,,,310,,,,,,,633,,,,,,,612,,,,,,,464,,,,,,,480,,,,,,,466,,,,,,,318,,,,,,,,
