,,,,Fct,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,BP,T/F,BP,T/F,BP,T/F,T/F
,Ceramic Rods(RD),40,45,194,10,10,-16,-29,188,175,308,10,10,-24,-17,160,167,111,14,14,-27,-45,155,136,382,24,24,-27,-11,133,150,318,18,20,-33,-14,135,155,144,20,20,-28,-32,148,143,172,29,30,-24,-25,153,148,180,21,22,-24,-25,150,145,114,21,30,-33,-38,139,137,145,24,26,-24,-28,139,134,82,22,30,-23,-49,138,115,120,12,25,-23,-29,127,112,116,175,,-168,-29,163,83,70
,Cap / R Plate / Terminal (ME),70,75,119,0,0,-20,-13,99,106,214,0,0,-14,-15,91,91,193,27,27,-11,-14,107,103,401,0,0,-8,-8,95,96,286,7,7,-9,-10,93,93,179,14,29,-15,-16,92,106,166,34,12,-19,-19,107,98,135,29,30,-19,-22,117,106,139,7,15,-20,-23,104,98,136,22,15,-19,-22,107,91,130,22,27,-19,-21,110,97,138,0,10,-19,-21,91,86,123,89,,-107,-21,49,65,92
,Plated Wire,18,21,48,44,45,-32,-28,60,64,64,31,31,-38,-30,57,65,76,45,46,-27,-26,83,85,93,35,35,-26,-27,94,92,138,0,0,-27,-20,65,72,87,15,14,-29,-25,58,61,53,44,44,-34,-34,68,71,57,22,22,-37,-37,53,56,45,37,37,-37,-37,52,56,40,37,37,-41,-41,48,51,37,37,37,-41,-41,44,47,34,30,30,-41,-41,32,35,28,226,,-237,-38,14,-3,-2
,Substrates (CS),30,45,52,27,27,-18,-20,62,59,72,19,19,-32,-25,46,53,60,47,47,-36,-27,64,74,61,0,0,-33,-36,41,37,42,48,48,-30,-26,55,59,47,28,28,-30,-38,56,49,18,41,41,-36,-40,61,49,18,43,43,-39,-22,65,70,18,37,37,-41,-24,61,84,18,7,15,-28,-21,40,78,18,21,21,-30,-26,31,73,75,25,54,-29,-29,27,98,80,122,,-81,-37,58,61,59
,Chemical (CH / CI),45,60,132,20,20,-26,-23,126,128,235,7,6,-30,-16,106,118,153,13,13,-34,-23,97,108,117,28,28,-26,-28,110,108,176,22,20,-30,-18,100,110,119,7,9,-27,-28,90,91,65,28,43,-28,-42,90,92,71,22,29,-29,-39,82,82,64,49,56,-29,-38,101,99,73,20,32,-31,-40,90,91,68,24,35,-30,-40,85,86,64,23,34,-29,-40,79,80,67,142,,-160,-36,49,44,34
,Packaging / Tapes (PC PO PP),45,60,94,11,12,-13,-10,91,96,247,14,14,-14,-12,96,98,284,7,7,-12,-10,93,94,356,11,8,-11,-8,94,94,292,9,9,-12,-10,92,94,262,10,8,-13,-11,91,91,185,16,8,-14,-15,93,85,163,12,18,-15,-16,90,87,167,15,11,-15,-16,91,82,158,10,15,-14,-16,86,81,163,8,12,-14,-15,80,78,158,10,12,-14,-15,76,76,151,71,,-83,-15,55,61,122
,Other ,27,30,134,24,26,-33,-23,125,137,138,45,46,-29,-30,153,153,137,29,29,-40,-34,142,148,131,22,23,-37,-34,134,137,119,44,45,-39,-34,143,147,144,22,22,-29,-31,140,138,109,34,33,-34,-38,140,133,84,24,26,-39,-48,125,111,61,28,49,-44,-54,108,105,59,43,52,-40,-54,111,103,64,30,42,-40,-48,101,97,62,25,48,-40,-47,87,98,72,228,,-225,-41,97,57,38
,Substrate WIP (SS),,,105,,,-22,-12,83,94,103,,,-9,-27,85,66,187,,,-5,-11,61,56,67,,,4,-25,60,31,,,,19,11,50,42,-58,,,17,22,59,64,,,,3,12,62,76,,,,-10,3,52,79,,,,16,-14,68,65,,,,8,3,76,68,,,,-22,-11,54,57,,,,7,5,61,62,,,,-392,-1,137,61,717
,ERJM Plating (RJ),,, -   ,40,41,-24,-35,16,6,,35,39,-31,-38,10,7,,25,24,-24,-24,8,7,,20,22,-18,-26,9,3,,24,22,-19,-25,8,0,,43,52,-35,-46,8,7,,57,60,-57,-58,8,8,,61,64,-60,-63,9,9,,59,62,-60,-63,8,8,,52,58,-53,-59,7,7,,52,58,-52,-58,7,7,,51,58,-58,-65,0,0,,370,,-370,-42,0,-42,
